Result,Delay (ms),HTTP requests
270,20020.317608,2203
271,20020.334720000003,2203
272,20020.344158,2203
273,20020.35034,2203
274,20020.413409,2203
275,20020.421353,2203
276,20020.427605,2203
277,20020.434358000002,2203
278,20020.502907000002,2203
279,20020.511463000003,2203
280,20020.518076,2203
281,20020.52557,2203
282,20020.597876,2203
283,20020.609288,2203
284,20020.614838,2203
285,20020.620339,2203
286,20020.679059000002,2203
287,20020.687826,2203
288,20020.695851,2203
289,20020.701882,2203
290,20021.027987,2203
291,20021.036753,2203
292,20021.042595000003,2203
293,20021.049778,2203
294,20168.33697,2226
295,20168.352509,2226
296,20168.359212000003,2226
297,20168.366165000003,2226
298,20168.662954000003,2226
299,20168.675057,2226
300,20168.68183,2226
301,20168.686719,2226
302,20168.922403,2226
303,20168.934476000002,2226
304,20168.94183,2226
305,20168.94701,2226
306,20169.479123,2226
307,20169.489011,2226
308,20169.495704,2226
309,20169.502497,2226
310,20169.90755,2226
311,20169.920174000003,2226
312,20169.929271,2226
313,20169.941264,2226
314,20170.122235000003,2226
315,20170.133556,2226
316,20170.141361,2226
317,20170.148404,2226
318,20170.276255,2226
319,20170.282858000002,2226
320,20170.289039000003,2226
321,20170.296002000003,2226
322,20170.627938,2226
323,20170.635593000003,2226
324,20170.640382,2226
325,20170.645982000002,2226
326,20170.740009,2226
327,20170.746512,2226
328,20170.751671,2226
329,20170.756901,2226
330,20171.090189000002,2226
331,20171.097613,2226
332,20171.103615,2226
333,20171.109656,2226
334,20171.175610000002,2226
335,20171.182303,2226
336,20171.187693,2226
337,20171.192673,2226
338,20171.266852,2226
339,20171.273465000002,2226
340,20171.280418000002,2226
341,20171.286019000003,2226
342,20171.828361,2226
343,20171.836887,2226
344,20171.842027000002,2226
345,20171.861533000003,2226
346,20172.074244000003,2226
347,20172.085666000003,2226
348,20172.098731000002,2226
349,20172.111334,2226
350,20172.376163,2226
351,20172.382776000002,2226
352,20172.390300000003,2226
353,20172.397664,2226
354,20426.242213,2236
355,20426.261409000002,2236
356,20426.269885,2236
357,20426.274784,2236
358,20426.308247,2236
359,20426.314379000003,2236
360,20426.319599000002,2236
361,20426.324498,2236
362,20426.444504000003,2236
363,20426.451137,2236
364,20426.458290000002,2236
